Property Id,Property Name,Parent Property Id,Parent Property Name,City,Primary Property Type - Portfolio Manager-Calculated,Year Built,Construction Status,Occupancy,Property GFA - Calculated (Buildings and Parking) (ft²),Property GFA - Calculated (Buildings) (ft²),Borough,Metered Areas (Energy),Metered Areas (Water),ENERGY STAR Score,National Median ENERGY STAR Score,Target ENERGY STAR Score,Site EUI (kBtu/ft²),Site Energy Use (kBtu),Source EUI (kBtu/ft²),Source Energy Use (kBtu),Green Power - Onsite and Offsite (kWh),eGRID Output Emissions Rate (kgCO2e/MBtu),Percent of Electricity that is Green Power,"Alert - Data Center Issue (with Estimates, IT Configuration, or IT Meter)",Alert - Energy Meter has less than 12 full calendar months of data,Alert - Energy Meter has gaps,Alert - Energy Meter has overlaps,Alert - Energy - No meters selected for metrics,Alert - Energy Meter has single entry more than 65 days,Alert - Water Meter has less than 12 full calendar months of data,Alert - Property has no uses,Avoided Emissions - Onsite and Offsite Green Power (Metric Tons CO2e),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft²),Net Emissions (Metric Tons CO2e),National Median Total GHG Emissions (Metric Tons CO2e),Building Age,Base LL97 Penalty,Base Penalty $/ft²,Decade Built,Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),District Steam Use (kBtu),Diesel #2 Use (kBtu),District Hot Water Use (kBtu),District Chilled Water Use (kBtu),Natural Gas Use (kBtu),Electricity Use - Grid Purchase (kBtu),GHG Emissions Intensity,Calculated Limit,Excess Emissions
2826127,Third Avenue North Residence Hall,Standalone,Standalone,New York City,Residence Hall/Dormitory,1988,Existing,100,322838.0,322838.0,Manhattan,Whole Property,Whole Property,64.0,50,,71.4,23038931.5,135.1,43611149.3,0.0,73.8,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,1595.3,4.9,1595.3,1919.7,33,0.0,1.3243,1980s,,,,,12388849.4,,,,636214.6,10013867.5,0.004941487681127996,1614.19,0.0
2826164,University Hall,Standalone,Standalone,New York City,Residence Hall/Dormitory,1998,Existing,100,213880.0,213880.0,Manhattan,Whole Property,Whole Property,64.0,50,70.0,68.1,14562165.3,135.0,28883182.6,0.0,73.8,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,934.0,4.4,934.0,1113.7,23,0.0,1.1703,1990s,,,,,,,,,6794788.6,7767376.6,0.004366934729755003,1069.4,0.0
2826167,"Tisch Hall, KMEC, Shimkin Hall",3616399,NYU: Washington Square CoGen Campus,New York City,College/University,1972,Existing,100,497173.0,497173.0,Manhattan,Partial Property,Whole Property,,50,,91.5,45515723.3,256.3,127444025.4,0.0,73.8,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,3358.4,6.8,3358.4,2366.3,49,233839.37999999995,1.8103,1970s,,,,,,,,,,45515723.3,0.00675499272888914,2485.8650000000002,872.5349999999999
2826196,Waverly Building,3616399,NYU: Washington Square CoGen Campus,New York City,College/University,1906,Existing,100,60120.0,60120.0,Manhattan,Partial Property,Whole Property,,50,,0.3,17439.4,0.3,18311.4,0.0,73.8,,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,0.9,0.0,0.9,549.3,115,0.0,0.004,1900s,,,,,,,,,17439.4,0.0,1.497005988023952e-05,300.6,0.0
2826200,Weinstein Residence Hall,3616399,NYU: Washington Square CoGen Campus,New York City,Residence Hall/Dormitory,1962,Existing,100,168754.0,168754.0,Manhattan,Partial Property,Whole Property,,50,,14.5,2445480.6,15.2,2567754.7,,73.8,,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,,129.9,0.8,129.9,1820.0,59,0.0,0.2063,1960s,,,,,,,,,2445480.6,,0.0007697595316259171,843.77,0.0
2826282,Weissman Hall,8284437,Schwartz/Weissman Campus,New York City,Ambulatory Surgical Center,1929,Existing,100,114924.0,114924.0,Manhattan,Whole Property,Whole Property,,50,,196.9,22623304.6,348.6,40064573.2,0.0,73.8,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,1558.3,13.6,1558.3,618.1,92,263626.24,3.6339,1920s,,22756.2,,,14253053.9,,,,273374.2,8074120.3,0.013559395774598864,574.62,983.68
2866471,19 West 4th Street,3616399,NYU: Washington Square CoGen Campus,New York City,College/University,1900,Existing,100,117811.0,117811.0,Manhattan,Partial Property,Whole Property,,50,,27.2,3210214.9,76.3,8988601.8,0.0,73.8,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,236.9,2.0,236.9,560.7,121,0.0,0.5389,1900s,,,,,,,,,,3210214.9,0.0020108478834743784,589.0550000000001,0.0
2921191,Silver Towers 1&2,3616399,NYU: Washington Square CoGen Campus,New York City,Multifamily Housing,1966,Existing,100,521028.0,458883.0,Manhattan,Partial Property,Whole Property,,50,,8.7,3984521.6,21.2,9707515.7,0.0,73.8,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,276.9,0.6,276.9,1545.8,55,0.0,0.1424,1960s,,,,,,,,,828082.8,3156438.9,0.0006034217872529599,2294.415,0.0
3107611,"Wilf Hall, Provincetown Theater",3616399,NYU: Washington Square CoGen Campus,New York City,College/University,2010,Existing,100,55439.0,55439.0,Manhattan,Partial Property,Whole Property,,50,,20.3,1127384.9,56.9,3156677.6,0.0,73.8,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,83.2,1.5,83.2,263.9,11,0.0,0.4022,2010s,,,,,,,,,,1127384.9,0.001500748570500911,277.195,0.0
3122521,Forbes,Standalone,Standalone,New York City,College/University,1923,Existing,100,121054.0,121054.0,Manhattan,Whole Property,Whole Property,,50,,69.8,8452559.6,157.4,19054598.7,0.0,73.8,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,569.2,4.7,569.2,653.1,98,0.0,1.2601,1920s,,,,,,,,,2635753.2,5816806.4,0.0047020338030961395,605.27,0.0
